team1,team2,score1,score2
watford,burnley,0,0
bournemouth,west ham,2,0
arsenal,chelsea,2,0
huddersfield,man city,0,3
fulham,tottenham,1,2
fulham,brighton,4,2
arsenal,cardiff,2,1
wolverhampton,west ham,3,0
huddersfield,everton,0,1
man united,burnley,2,2
newcastle,man city,2,1
southampton,crystal palace,1,1
bournemouth,chelsea,4,0
liverpool,leicester,1,1
tottenham,watford,2,1
tottenham,newcastle,1,0
chelsea,huddersfield,5,0
everton,wolverhampton,1,3
crystal palace,fulham,2,0
burnley,southampton,1,1
brighton,watford,0,0
cardiff,bournemouth,2,0
leicester,man united,0,1
man city,arsenal,3,1
west ham,liverpool,1,1
everton,man city,0,2
fulham,man united,0,3
liverpool,bournemouth,3,0
southampton,cardiff,1,2
watford,everton,1,0
huddersfield,arsenal,1,2
crystal palace,west ham,1,1
brighton,burnley,1,3
tottenham,leicester,3,1
man city,chelsea,6,0
wolverhampton,newcastle,1,1
cardiff,watford,1,5
west ham,fulham,3,1
burnley,tottenham,2,1
newcastle,huddersfield,2,0
bournemouth,wolverhampton,1,1
leicester,crystal palace,1,4
arsenal,southampton,2,0
man united,liverpool,0,0
cardiff,everton,0,3
huddersfield,wolverhampton,1,0
leicester,brighton,2,1
newcastle,burnley,2,0
arsenal,bournemouth,5,1
southampton,fulham,2,0
liverpool,watford,5,0
man city,west ham,1,0
chelsea,tottenham,2,0
crystal palace,man united,1,3
tottenham,arsenal,1,1
man united,southampton,3,2
wolverhampton,cardiff,2,0
bournemouth,man city,0,1
burnley,crystal palace,1,3
brighton,huddersfield,1,0
west ham,newcastle,2,0
watford,leicester,2,1
fulham,chelsea,1,2
everton,liverpool,0,0
crystal palace,brighton,1,2
cardiff,west ham,2,0
newcastle,everton,3,2
southampton,tottenham,2,1
huddersfield,bournemouth,0,2
leicester,fulham,3,1
man city,watford,3,1
liverpool,burnley,4,2
chelsea,wolverhampton,1,1
arsenal,man united,2,0
bournemouth,newcastle,2,2
west ham,huddersfield,4,3
burnley,leicester,1,2
fulham,liverpool,1,2
everton,chelsea,2,0
fulham,man city,0,2
man united,watford,2,1
leicester,bournemouth,2,0
crystal palace,huddersfield,2,0
burnley,wolverhampton,2,0
brighton,southampton,0,1
west ham,everton,0,2
cardiff,chelsea,1,2
liverpool,tottenham,2,1
arsenal,newcastle,2,0
watford,fulham,4,1
wolverhampton,man united,2,1
man city,cardiff,2,0
tottenham,crystal palace,2,0
chelsea,brighton,3,0
southampton,liverpool,1,3
newcastle,crystal palace,0,1
huddersfield,leicester,1,4
bournemouth,burnley,1,3
everton,arsenal,1,0
chelsea,west ham,2,0
leicester,newcastle,0,1
tottenham,huddersfield,4,0
fulham,everton,2,0
southampton,wolverhampton,3,1
burnley,cardiff,2,0
brighton,bournemouth,0,5
man united,west ham,2,1
crystal palace,man city,1,3
liverpool,chelsea,2,0
watford,arsenal,0,1
brighton,cardiff,0,2
man city,tottenham,1,0
wolverhampton,brighton,0,0
huddersfield,watford,1,2
bournemouth,fulham,0,1
west ham,leicester,2,2
newcastle,southampton,3,1
everton,man united,4,0
cardiff,liverpool,0,2
arsenal,crystal palace,2,3
chelsea,burnley,2,2
tottenham,brighton,1,0
watford,southampton,1,1
wolverhampton,arsenal,3,1
man united,man city,0,2
liverpool,huddersfield,5,0
tottenham,west ham,0,1
fulham,cardiff,1,0
southampton,bournemouth,3,3
watford,wolverhampton,1,2
crystal palace,everton,0,0
brighton,newcastle,1,1
leicester,arsenal,3,0
burnley,man city,0,1
man united,chelsea,1,1
everton,burnley,2,0
bournemouth,tottenham,1,0
wolverhampton,fulham,1,0
west ham,southampton,3,0
cardiff,crystal palace,2,3
newcastle,liverpool,2,3
huddersfield,man united,1,1
chelsea,watford,3,0
arsenal,brighton,1,1
man city,leicester,1,0
liverpool,wolverhampton,2,0
fulham,newcastle,0,4
man united,cardiff,0,2
southampton,huddersfield,1,1
watford,west ham,1,4
leicester,chelsea,0,0
crystal palace,bournemouth,5,3
burnley,arsenal,1,3
brighton,man city,1,4
tottenham,everton,2,2
chievo,juventus,2,3
lazio,napoli,1,2
torino,roma,0,1
bologna,spal,0,1
empoli,cagliari,2,0
parma,udinese,2,2
sassuolo,internazionale,1,0
atalanta,frosinone,4,0
sampdoria,fiorentina,1,1
milan,genoa,2,1
juventus,lazio,2,0
napoli,milan,3,2
spal,parma,1,0
cagliari,sassuolo,2,2
fiorentina,chievo,6,1
frosinone,bologna,0,0
genoa,empoli,2,1
internazionale,torino,2,2
udinese,sampdoria,1,0
roma,atalanta,3,3
milan,roma,2,1
bologna,internazionale,0,3
parma,juventus,1,2
fiorentina,udinese,1,0
atalanta,cagliari,0,1
chievo,empoli,0,0
lazio,frosinone,1,0
sampdoria,napoli,3,0
sassuolo,genoa,5,3
torino,spal,1,0
internazionale,parma,0,1
napoli,fiorentina,1,0
frosinone,sampdoria,0,5
roma,chievo,2,2
genoa,bologna,1,0
juventus,sassuolo,2,1
udinese,torino,1,1
empoli,lazio,0,1
cagliari,milan,1,1
spal,atalanta,2,0
sassuolo,empoli,3,1
parma,cagliari,2,0
fiorentina,spal,3,0
sampdoria,internazionale,0,1
torino,napoli,1,3
bologna,roma,2,0
chievo,udinese,0,2
lazio,genoa,4,1
milan,atalanta,2,2
frosinone,juventus,0,2
internazionale,fiorentina,2,1
udinese,lazio,1,2
atalanta,torino,0,0
cagliari,sampdoria,0,0
genoa,chievo,2,0
juventus,bologna,2,0
napoli,parma,3,0
roma,frosinone,4,0
spal,sassuolo,0,2
empoli,milan,1,1
roma,lazio,3,1
juventus,napoli,3,1
internazionale,cagliari,2,0
bologna,udinese,2,1
chievo,torino,0,1
fiorentina,atalanta,2,0
frosinone,genoa,1,2
parma,empoli,1,0
sassuolo,milan,1,4
sampdoria,spal,2,1
torino,frosinone,3,2
cagliari,bologna,2,0
udinese,juventus,0,2
empoli,roma,0,2
genoa,parma,1,3
atalanta,sampdoria,0,1
lazio,fiorentina,1,0
milan,chievo,3,1
napoli,sassuolo,2,0
spal,internazionale,1,2
roma,spal,0,2
juventus,genoa,1,1
udinese,napoli,0,3
frosinone,empoli,3,3
bologna,torino,2,2
chievo,atalanta,1,5
parma,lazio,0,2
fiorentina,cagliari,1,1
internazionale,milan,1,0
sampdoria,sassuolo,0,0
atalanta,parma,3,0
empoli,juventus,1,2
torino,fiorentina,1,1
sassuolo,bologna,2,2
cagliari,chievo,2,1
genoa,udinese,2,2
spal,frosinone,0,3
milan,sampdoria,3,2
napoli,roma,1,1
lazio,internazionale,0,3
napoli,empoli,5,1
internazionale,genoa,5,0
fiorentina,roma,1,1
juventus,cagliari,3,1
lazio,spal,4,1
chievo,sassuolo,0,2
parma,frosinone,0,0
sampdoria,torino,1,4
bologna,atalanta,1,2
udinese,milan,0,1
frosinone,fiorentina,1,1
torino,parma,1,2
spal,cagliari,2,2
genoa,napoli,1,2
atalanta,internazionale,4,1
chievo,bologna,2,2
empoli,udinese,2,1
roma,sampdoria,4,1
sassuolo,lazio,1,1
milan,juventus,0,2
udinese,roma,1,0
juventus,spal,2,0
internazionale,frosinone,3,0
parma,sassuolo,2,1
bologna,fiorentina,0,0
empoli,atalanta,3,2
napoli,chievo,0,0
lazio,milan,1,1
genoa,sampdoria,1,1
cagliari,torino,0,0
spal,empoli,2,2
fiorentina,juventus,0,3
sampdoria,bologna,4,1
milan,parma,2,1
frosinone,cagliari,1,1
sassuolo,udinese,0,0
torino,genoa,2,1
chievo,lazio,1,1
roma,internazionale,2,2
atalanta,napoli,1,2
juventus,internazionale,1,0
napoli,frosinone,4,0
cagliari,roma,2,2
lazio,sampdoria,2,2
sassuolo,fiorentina,3,3
empoli,bologna,2,1
parma,chievo,1,1
udinese,atalanta,1,3
genoa,spal,1,1
milan,torino,0,0
internazionale,udinese,1,0
torino,juventus,0,1
spal,chievo,0,0
fiorentina,empoli,3,1
frosinone,sassuolo,0,2
sampdoria,parma,2,0
cagliari,napoli,0,1
roma,genoa,3,2
atalanta,lazio,1,0
bologna,milan,0,0
lazio,cagliari,3,1
empoli,sampdoria,2,4
genoa,atalanta,3,1
milan,fiorentina,0,1
napoli,spal,1,0
sassuolo,torino,1,1
udinese,frosinone,1,1
chievo,internazionale,1,1
parma,bologna,0,0
juventus,roma,1,0
frosinone,milan,0,0
atalanta,juventus,2,2
bologna,lazio,0,2
cagliari,genoa,1,0
fiorentina,parma,0,1
sampdoria,chievo,2,0
roma,sassuolo,3,1
spal,udinese,0,0
torino,empoli,3,0
internazionale,napoli,1,0
juventus,sampdoria,2,1
chievo,frosinone,1,0
empoli,internazionale,0,1
genoa,fiorentina,0,0
lazio,torino,1,1
parma,roma,0,2
sassuolo,atalanta,2,6
udinese,cagliari,2,0
napoli,bologna,3,2
milan,spal,2,1
roma,torino,3,2
udinese,parma,1,2
internazionale,sassuolo,0,0
frosinone,atalanta,0,5
fiorentina,sampdoria,3,3
spal,bologna,1,1
cagliari,empoli,2,2
napoli,lazio,2,1
genoa,milan,0,2
juventus,chievo,3,0
sassuolo,cagliari,3,0
sampdoria,udinese,4,0
milan,napoli,0,0
chievo,fiorentina,3,4
atalanta,roma,3,3
bologna,frosinone,0,4
parma,spal,2,3
torino,internazionale,1,0
lazio,juventus,1,2
empoli,genoa,1,3
empoli,chievo,2,2
napoli,sampdoria,3,0
juventus,parma,3,3
spal,torino,0,0
genoa,sassuolo,1,1
udinese,fiorentina,1,1
internazionale,bologna,0,1
roma,milan,1,1
frosinone,lazio,0,1
cagliari,atalanta,0,1
lazio,empoli,1,0
chievo,roma,0,3
fiorentina,napoli,0,0
parma,internazionale,0,1
bologna,genoa,1,1
atalanta,spal,2,1
sampdoria,frosinone,0,1
torino,udinese,1,0
sassuolo,juventus,0,3
milan,cagliari,3,0
juventus,frosinone,3,0
cagliari,parma,2,1
atalanta,milan,1,3
spal,fiorentina,1,4
empoli,sassuolo,3,0
genoa,lazio,2,1
udinese,chievo,1,0
internazionale,sampdoria,2,1
napoli,torino,0,0
roma,bologna,2,1
milan,empoli,3,0
torino,atalanta,2,0
frosinone,roma,2,3
sampdoria,cagliari,1,0
bologna,juventus,0,1
chievo,genoa,0,0
sassuolo,spal,1,1
parma,napoli,0,4
fiorentina,internazionale,3,3
lazio,udinese,2,0
cagliari,internazionale,2,1
empoli,parma,3,3
milan,sassuolo,1,0
lazio,roma,3,0
torino,chievo,3,0
genoa,frosinone,0,0
spal,sampdoria,1,2
udinese,bologna,2,1
atalanta,fiorentina,3,1
napoli,juventus,1,2
juventus,udinese,4,1
parma,genoa,1,0
chievo,milan,1,2
bologna,cagliari,2,0
frosinone,torino,1,2
internazionale,spal,2,0
sampdoria,atalanta,1,2
sassuolo,napoli,1,1
fiorentina,lazio,1,1
roma,empoli,2,1
cagliari,fiorentina,2,1
sassuolo,sampdoria,3,5
spal,roma,2,1
torino,bologna,2,3
genoa,juventus,2,0
atalanta,chievo,1,1
empoli,frosinone,2,1
lazio,parma,4,1
napoli,udinese,4,2
milan,internazionale,2,3
chievo,cagliari,0,3
udinese,genoa,2,0
juventus,empoli,1,0
sampdoria,milan,1,0
parma,atalanta,1,3
fiorentina,torino,1,1
frosinone,spal,0,1
roma,napoli,1,4
bologna,sassuolo,2,1
internazionale,lazio,0,1
milan,udinese,1,1
cagliari,juventus,0,2
empoli,napoli,2,1
frosinone,parma,3,2
genoa,internazionale,0,4
roma,fiorentina,2,2
spal,lazio,1,0
torino,sampdoria,2,1
sassuolo,chievo,4,0
atalanta,bologna,4,1
parma,torino,0,0
juventus,milan,2,1
sampdoria,roma,0,1
fiorentina,frosinone,0,1
cagliari,spal,2,1
udinese,empoli,3,2
internazionale,atalanta,0,0
lazio,sassuolo,2,2
napoli,genoa,1,1
bologna,chievo,3,0
spal,juventus,2,1
roma,udinese,1,0
milan,lazio,1,0
torino,cagliari,1,1
fiorentina,bologna,0,0
sampdoria,genoa,2,0
sassuolo,parma,0,0
chievo,napoli,1,3
frosinone,internazionale,1,3
atalanta,empoli,0,0
parma,milan,1,1
bologna,sampdoria,3,0
cagliari,frosinone,1,0
empoli,spal,2,4
genoa,torino,0,1
lazio,chievo,1,2
udinese,sassuolo,1,1
juventus,fiorentina,2,1
internazionale,roma,1,1
napoli,atalanta,1,2
bologna,empoli,3,1
roma,cagliari,3,0
internazionale,juventus,1,1
frosinone,napoli,0,2
chievo,parma,1,1
spal,genoa,1,1
sampdoria,lazio,1,2
torino,milan,2,0
atalanta,udinese,2,0
fiorentina,sassuolo,0,1
juventus,torino,1,1
chievo,spal,0,4
udinese,internazionale,0,0
empoli,fiorentina,1,0
lazio,atalanta,1,3
parma,sampdoria,3,3
sassuolo,frosinone,2,2
genoa,roma,1,1
napoli,cagliari,2,1
milan,bologna,2,1
atalanta,genoa,2,1
cagliari,lazio,1,2
fiorentina,milan,0,1
torino,sassuolo,3,2
frosinone,udinese,1,3
sampdoria,empoli,1,2
spal,napoli,1,2
roma,juventus,2,0
bologna,parma,4,1
internazionale,chievo,2,0
udinese,spal,3,2
genoa,cagliari,1,1
sassuolo,roma,0,0
chievo,sampdoria,0,0
empoli,torino,4,1
parma,fiorentina,1,0
milan,frosinone,2,0
juventus,atalanta,1,1
napoli,internazionale,4,1
lazio,bologna,3,3
frosinone,chievo,0,0
bologna,napoli,3,2
torino,lazio,3,1
sampdoria,juventus,2,0
atalanta,sassuolo,3,1
cagliari,udinese,1,2
fiorentina,genoa,0,0
internazionale,empoli,2,1
roma,parma,2,1
spal,milan,2,3
pec zwolle,heerenveen,2,3
psv,utrecht,4,0
excelsior,fortuna sittard,1,1
willem ii,vvv venlo,0,1
ajax,heracles almelo,1,1
az,nac breda,5,0
vitesse,groningen,5,1
de graafschap,feyenoord,2,0
ado den haag,emmen,1,2
groningen,willem ii,0,1
heracles almelo,ado den haag,4,2
fortuna sittard,psv,1,2
vvv venlo,ajax,0,1
nac breda,de graafschap,3,0
heerenveen,vitesse,1,1
feyenoord,excelsior,3,0
emmen,az,1,4
utrecht,pec zwolle,2,0
ado den haag,fortuna sittard,3,1
pec zwolle,psv,1,2
nac breda,excelsior,0,2
de graafschap,groningen,0,1
ajax,emmen,5,0
az,vitesse,0,0
heerenveen,feyenoord,3,5
utrecht,vvv venlo,1,1
willem ii,heracles almelo,5,0
emmen,de graafschap,1,1
fortuna sittard,utrecht,1,1
psv,willem ii,6,1
excelsior,ado den haag,2,4
vvv venlo,heerenveen,1,1
feyenoord,nac breda,4,2
vitesse,ajax,0,4
heracles almelo,az,3,2
groningen,pec zwolle,0,1
willem ii,excelsior,2,2
ajax,groningen,3,0
de graafschap,vvv venlo,1,2
ado den haag,psv,0,7
pec zwolle,vitesse,0,2
nac breda,fortuna sittard,2,3
heerenveen,heracles almelo,3,5
utrecht,emmen,1,2
az,feyenoord,1,1
heracles almelo,de graafschap,4,0
vitesse,ado den haag,1,1
vvv venlo,nac breda,3,0
excelsior,heerenveen,3,3
fortuna sittard,willem ii,4,4
psv,ajax,3,0
groningen,az,1,3
emmen,pec zwolle,0,1
feyenoord,utrecht,1,0
fortuna sittard,ajax,0,2
excelsior,vvv venlo,1,0
nac breda,psv,0,2
heerenveen,ado den haag,1,1
feyenoord,vitesse,2,1
groningen,utrecht,1,1
de graafschap,willem ii,2,1
az,pec zwolle,2,2
heracles almelo,emmen,2,1
utrecht,nac breda,2,1
de graafschap,heerenveen,0,5
psv,vvv venlo,4,0
pec zwolle,excelsior,2,0
ado den haag,groningen,1,0
ajax,az,5,0
willem ii,feyenoord,1,1
vitesse,heracles almelo,4,0
emmen,fortuna sittard,3,3
heerenveen,ajax,0,4
utrecht,az,2,1
psv,emmen,6,0
excelsior,vitesse,2,0
fortuna sittard,de graafschap,3,1
vvv venlo,ado den haag,2,0
heracles almelo,groningen,4,1
feyenoord,pec zwolle,3,0
nac breda,willem ii,2,2
emmen,vvv venlo,1,1
pec zwolle,heracles almelo,1,1
groningen,psv,1,2
de graafschap,excelsior,4,1
ado den haag,nac breda,1,1
az,heerenveen,2,3
willem ii,utrecht,0,1
ajax,feyenoord,3,0
vitesse,fortuna sittard,2,1
excelsior,groningen,2,4
ajax,willem ii,2,0
az,de graafschap,1,0
psv,vitesse,1,0
nac breda,heracles almelo,2,1
fortuna sittard,pec zwolle,3,0
utrecht,ado den haag,3,0
heerenveen,emmen,1,1
pec zwolle,willem ii,2,3
vvv venlo,fortuna sittard,3,2
vitesse,utrecht,2,1
de graafschap,psv,1,4
emmen,nac breda,2,0
heracles almelo,feyenoord,0,2
excelsior,ajax,1,7
ado den haag,az,0,1
psv,heerenveen,3,0
fortuna sittard,heracles almelo,3,0
pec zwolle,ado den haag,2,3
nac breda,ajax,0,3
vvv venlo,az,2,2
willem ii,vitesse,1,3
feyenoord,groningen,1,0
utrecht,de graafschap,5,0
emmen,excelsior,1,2
excelsior,utrecht,3,3
heerenveen,fortuna sittard,3,1
de graafschap,pec zwolle,0,2
az,willem ii,0,2
vitesse,emmen,1,1
groningen,nac breda,5,2
heracles almelo,vvv venlo,4,1
feyenoord,psv,2,1
ajax,ado den haag,5,1
feyenoord,vvv venlo,4,1
psv,excelsior,6,0
fortuna sittard,az,0,3
ado den haag,de graafschap,0,0
pec zwolle,ajax,1,4
willem ii,heerenveen,1,5
nac breda,vitesse,2,1
vvv venlo,groningen,0,0
emmen,feyenoord,1,4
utrecht,heracles almelo,3,1
willem ii,ado den haag,0,3
vitesse,vvv venlo,2,1
heracles almelo,psv,0,4
az,excelsior,2,1
pec zwolle,nac breda,0,0
feyenoord,fortuna sittard,0,2
groningen,emmen,1,2
ajax,de graafschap,8,0
heerenveen,utrecht,2,3
vvv venlo,pec zwolle,2,0
excelsior,heracles almelo,0,3
psv,az,3,1
nac breda,heerenveen,4,2
fortuna sittard,groningen,0,0
emmen,willem ii,0,2
de graafschap,vitesse,2,2
ado den haag,feyenoord,2,2
utrecht,ajax,1,3
vitesse,excelsior,3,2
groningen,heracles almelo,3,0
pec zwolle,feyenoord,3,1
ado den haag,vvv venlo,2,4
az,utrecht,3,0
ajax,heerenveen,4,4
emmen,psv,2,2
de graafschap,fortuna sittard,5,1
willem ii,nac breda,2,0
nac breda,ado den haag,1,1
vvv venlo,emmen,2,3
psv,groningen,2,1
excelsior,de graafschap,2,0
heracles almelo,pec zwolle,0,2
heerenveen,az,0,2
feyenoord,ajax,6,2
utrecht,willem ii,0,1
fortuna sittard,vitesse,2,1
de graafschap,nac breda,3,0
az,emmen,5,0
willem ii,groningen,1,2
ajax,vvv venlo,6,0
vitesse,heerenveen,2,2
ado den haag,heracles almelo,2,0
psv,fortuna sittard,5,0
pec zwolle,utrecht,4,3
excelsior,feyenoord,2,1
nac breda,az,0,3
vvv venlo,willem ii,2,1
feyenoord,de graafschap,4,0
heracles almelo,ajax,1,0
heerenveen,pec zwolle,1,1
utrecht,psv,2,2
groningen,vitesse,2,1
emmen,ado den haag,3,2
fortuna sittard,excelsior,4,1
ado den haag,pec zwolle,1,0
vitesse,willem ii,3,2
heracles almelo,fortuna sittard,6,0
heerenveen,psv,2,2
az,vvv venlo,3,0
de graafschap,utrecht,0,1
groningen,feyenoord,1,0
excelsior,emmen,2,1
ajax,nac breda,5,0
vvv venlo,heracles almelo,0,1
nac breda,groningen,0,0
pec zwolle,de graafschap,0,3
fortuna sittard,heerenveen,2,4
utrecht,excelsior,0,0
willem ii,az,2,1
psv,feyenoord,1,1
emmen,vitesse,0,3
ado den haag,ajax,1,5
de graafschap,ado den haag,1,1
vitesse,nac breda,4,1
excelsior,psv,0,2
heracles almelo,utrecht,1,5
feyenoord,emmen,4,0
az,fortuna sittard,4,2
heerenveen,willem ii,4,2
groningen,vvv venlo,3,2
utrecht,groningen,0,0
willem ii,de graafschap,3,2
psv,nac breda,2,0
ado den haag,heerenveen,2,3
vvv venlo,excelsior,1,0
ajax,fortuna sittard,4,0
vitesse,feyenoord,1,1
emmen,heracles almelo,1,1
pec zwolle,az,0,0
ajax,pec zwolle,2,1
fortuna sittard,emmen,3,1
heracles almelo,vitesse,3,2
nac breda,utrecht,0,4
feyenoord,willem ii,2,3
heerenveen,de graafschap,0,3
excelsior,pec zwolle,0,2
groningen,ado den haag,1,0
az,ajax,1,0
vvv venlo,psv,0,1
heerenveen,excelsior,1,0
az,groningen,1,0
de graafschap,heracles almelo,1,2
willem ii,fortuna sittard,3,2
ado den haag,vitesse,3,3
ajax,psv,3,1
pec zwolle,emmen,3,0
utrecht,feyenoord,3,2
nac breda,vvv venlo,1,1
groningen,de graafschap,1,0
heracles almelo,willem ii,3,4
vitesse,az,2,2
emmen,ajax,2,5
fortuna sittard,ado den haag,0,0
excelsior,nac breda,1,2
vvv venlo,utrecht,2,6
feyenoord,heerenveen,3,0
psv,pec zwolle,4,0
heracles almelo,nac breda,1,0
de graafschap,az,1,1
groningen,excelsior,1,0
willem ii,ajax,1,4
ado den haag,utrecht,5,0
vitesse,psv,3,3
vvv venlo,feyenoord,0,3
pec zwolle,fortuna sittard,5,0
emmen,heerenveen,2,0
nac breda,emmen,1,1
fortuna sittard,vvv venlo,1,1
feyenoord,heracles almelo,2,1
ajax,excelsior,6,2
az,ado den haag,2,3
utrecht,vitesse,0,0
willem ii,pec zwolle,2,0
heerenveen,groningen,1,1
psv,de graafschap,2,1
heracles almelo,heerenveen,2,1
vvv venlo,de graafschap,4,1
feyenoord,az,2,1
vitesse,pec zwolle,4,1
groningen,ajax,0,1
emmen,utrecht,2,0
psv,ado den haag,3,1
fortuna sittard,nac breda,2,1
excelsior,willem ii,1,1
ajax,vitesse,4,2
heerenveen,vvv venlo,2,2
az,heracles almelo,2,1
de graafschap,emmen,1,0
nac breda,feyenoord,0,4
utrecht,fortuna sittard,2,1
willem ii,psv,0,3
ado den haag,excelsior,3,1
pec zwolle,groningen,3,2
willem ii,emmen,2,3
vitesse,de graafschap,6,1
pec zwolle,vvv venlo,2,4
heracles almelo,excelsior,4,5
heerenveen,nac breda,2,1
groningen,fortuna sittard,3,0
feyenoord,ado den haag,0,2
ajax,utrecht,4,1
az,psv,1,0
vvv venlo,vitesse,1,3
psv,heracles almelo,3,1
nac breda,pec zwolle,0,0
fortuna sittard,feyenoord,1,4
utrecht,heerenveen,3,1
excelsior,az,4,2
emmen,groningen,1,0
de graafschap,ajax,1,4
ado den haag,willem ii,6,2
groningen,heerenveen,2,0
girona,real valladolid,0,0
real betis,levante,0,3
celta vigo,espanyol,1,1
villarreal,real sociedad,1,2
barcelona,deportivo alaves,3,0
eibar,huesca,1,2
rayo vallecano,sevilla,1,4
real madrid,getafe,2,0
valencia,atletico,1,1
athletic bilbao,leganes,2,1
getafe,eibar,2,0
leganes,real sociedad,2,2
deportivo alaves,real betis,0,0
atletico,rayo vallecano,1,0
real valladolid,barcelona,0,1
espanyol,valencia,2,0
girona,real madrid,1,4
sevilla,villarreal,0,0
levante,celta vigo,1,2
athletic bilbao,huesca,2,2
getafe,real valladolid,0,0
eibar,real sociedad,2,1
villarreal,girona,0,1
celta vigo,atletico,2,0
real madrid,leganes,4,1
levante,valencia,2,2
deportivo alaves,espanyol,2,1
barcelona,huesca,8,2
real betis,sevilla,1,0
rayo vallecano,athletic bilbao,1,1
huesca,rayo vallecano,0,1
atletico,eibar,1,1
real sociedad,barcelona,1,2
valencia,real betis,0,0
athletic bilbao,real madrid,1,1
leganes,villarreal,0,1
espanyol,levante,1,0
real valladolid,deportivo alaves,0,1
sevilla,getafe,0,2
girona,celta vigo,3,2
huesca,real sociedad,0,1
rayo vallecano,deportivo alaves,1,5
celta vigo,real valladolid,3,3
eibar,leganes,1,0
getafe,atletico,0,2
real madrid,espanyol,1,0
levante,sevilla,2,6
villarreal,valencia,0,0
real betis,athletic bilbao,2,2
barcelona,girona,2,2
espanyol,eibar,1,0
real sociedad,rayo vallecano,2,2
atletico,huesca,3,0
athletic bilbao,villarreal,0,3
leganes,barcelona,2,1
valencia,celta vigo,1,1
sevilla,real madrid,3,0
deportivo alaves,getafe,1,1
real valladolid,levante,2,1
girona,real betis,0,1
rayo vallecano,espanyol,2,2
real sociedad,valencia,0,1
barcelona,athletic bilbao,1,1
eibar,sevilla,1,3
real madrid,atletico,0,0
huesca,girona,1,1
villarreal,real valladolid,0,1
levante,deportivo alaves,2,1
real betis,leganes,1,0
celta vigo,getafe,1,1
athletic bilbao,real sociedad,1,3
girona,eibar,2,3
getafe,levante,0,1
deportivo alaves,real madrid,1,0
leganes,rayo vallecano,1,0
real valladolid,huesca,1,0
atletico,real betis,1,0
espanyol,villarreal,3,1
sevilla,celta vigo,2,1
valencia,barcelona,1,1
celta vigo,deportivo alaves,0,1
real madrid,levante,1,2
valencia,leganes,1,1
villarreal,atletico,1,1
barcelona,sevilla,4,2
rayo vallecano,getafe,1,2
eibar,athletic bilbao,1,1
huesca,espanyol,0,2
real betis,real valladolid,0,1
real sociedad,girona,0,0
real valladolid,espanyol,1,1
girona,rayo vallecano,2,1
athletic bilbao,valencia,0,0
celta vigo,eibar,4,0
levante,leganes,2,0
atletico,real sociedad,2,0
getafe,real betis,2,0
barcelona,real madrid,5,1
deportivo alaves,villarreal,2,1
sevilla,huesca,2,1
leganes,atletico,1,1
real madrid,real valladolid,2,0
valencia,girona,0,1
rayo vallecano,barcelona,2,3
eibar,deportivo alaves,2,1
villarreal,levante,1,1
real sociedad,sevilla,0,0
huesca,getafe,1,1
real betis,celta vigo,3,3
espanyol,athletic bilbao,1,0
levante,real sociedad,1,3
real valladolid,eibar,0,0
getafe,valencia,0,1
atletico,athletic bilbao,3,2
girona,leganes,0,0
deportivo alaves,huesca,2,1
barcelona,real betis,3,4
rayo vallecano,villarreal,2,2
sevilla,espanyol,2,1
celta vigo,real madrid,2,4
leganes,deportivo alaves,1,0
eibar,real madrid,3,0
valencia,rayo vallecano,3,0
huesca,levante,2,2
atletico,barcelona,1,1
athletic bilbao,getafe,1,1
sevilla,real valladolid,1,0
espanyol,girona,1,3
villarreal,real betis,2,1
real sociedad,celta vigo,2,1
rayo vallecano,eibar,1,0
celta vigo,huesca,2,0
real valladolid,leganes,2,4
getafe,espanyol,3,0
real madrid,valencia,2,0
real betis,real sociedad,1,0
girona,atletico,1,1
barcelona,villarreal,2,0
deportivo alaves,sevilla,1,1
levante,athletic bilbao,3,0
leganes,getafe,1,1
atletico,deportivo alaves,3,0
valencia,sevilla,1,1
villarreal,celta vigo,2,3
espanyol,barcelona,0,4
eibar,levante,4,4
huesca,real madrid,0,1
real sociedad,real valladolid,1,2
real betis,rayo vallecano,2,0
athletic bilbao,girona,1,0
celta vigo,leganes,0,0
getafe,real sociedad,1,0
real valladolid,atletico,2,3
real madrid,rayo vallecano,1,0
eibar,valencia,1,1
sevilla,girona,2,0
espanyol,real betis,1,3
huesca,villarreal,2,2
levante,barcelona,0,5
deportivo alaves,athletic bilbao,0,0
girona,getafe,1,1
real sociedad,deportivo alaves,0,1
real betis,eibar,1,1
atletico,espanyol,1,0
barcelona,celta vigo,2,0
athletic bilbao,real valladolid,1,1
valencia,huesca,2,1
leganes,sevilla,1,1
rayo vallecano,levante,2,1
villarreal,real madrid,2,2
levante,girona,2,2
espanyol,leganes,1,0
real valladolid,rayo vallecano,0,1
deportivo alaves,valencia,2,1
huesca,real betis,2,1
eibar,villarreal,0,0
sevilla,atletico,1,1
real madrid,real sociedad,0,2
getafe,barcelona,1,2
celta vigo,athletic bilbao,1,2
rayo vallecano,celta vigo,4,2
leganes,huesca,1,0
valencia,real valladolid,1,1
girona,deportivo alaves,1,1
villarreal,getafe,1,2
atletico,levante,1,0
athletic bilbao,sevilla,2,0
barcelona,eibar,3,0
real betis,real madrid,1,2
real sociedad,espanyol,3,2
getafe,deportivo alaves,4,0
real madrid,sevilla,2,0
huesca,atletico,0,3
celta vigo,valencia,1,2
real betis,girona,3,2
